frame_count,ssim_top,ssim_bottom,ssim_overall,histogram_similarity
0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0
22,0.9508488178253174,0.933927595615387,0.9337709546089172,1.0
23,0.9663442969322205,0.9425324201583862,0.9287161231040955,0.9999773518261663
24,0.9981184005737305,0.9584967494010925,0.9417130351066589,0.9999618536770671
25,0.9944024085998535,0.9631359577178955,0.9388827085494995,0.9999017382905833
26,0.9888589382171631,0.9554392099380493,0.8869465589523315,0.9998645254226259
27,0.9880169034004211,0.9577418565750122,0.9009215831756592,0.9997844791408661
28,0.9965104460716248,0.9810702800750732,0.8231797218322754,0.9989794177421067
29,0.897834837436676,0.8938986659049988,0.6683680415153503,0.9985152471104897
30,0.6683349013328552,0.6614967584609985,0.5051664710044861,0.9911512534799523
31,0.5147680640220642,0.4922218322753906,0.3857768476009369,0.9815104586669594
32,0.1132643073797226,0.11706443130970001,0.12837764620780945,0.6218179148675584
33,0.21393263339996338,0.25607600808143616,0.21774990856647491,0.9707576157926721
34,0.1928107738494873,0.21583011746406555,0.20005491375923157,0.9918890472488325
35,0.16457276046276093,0.18827179074287415,0.17699234187602997,0.9963654102774078
36,0.15616846084594727,0.17216406762599945,0.16495639085769653,0.9982525842939496
37,0.18361589312553406,0.18610718846321106,0.18538224697113037,0.9988919978359351
38,0.18257595598697662,0.17700104415416718,0.17989996075630188,0.9981775657823987
39,0.1662706881761551,0.1650182008743286,0.16836950182914734,0.9995909937931167
40,0.18410104513168335,0.1826406866312027,0.18021968007087708,0.9965892648476273
41,0.19732089340686798,0.18197286128997803,0.18337482213974,0.9960153912462484
42,0.1937837153673172,0.16372904181480408,0.1744680404663086,0.9985262407694429
43,0.2103063315153122,0.1793799251317978,0.18965528905391693,0.9989021496427639
44,0.2099180817604065,0.170731320977211,0.18389376997947693,0.9968425537213095
45,0.2041265219449997,0.1609296053647995,0.17864471673965454,0.9922758707974555
46,0.23177428543567657,0.17863361537456512,0.19871588051319122,0.9947732601666928
47,0.21254046261310577,0.16563232243061066,0.18424823880195618,0.9937910888945463
48,0.21153058111667633,0.15380069613456726,0.17677752673625946,0.9972701457023949
49,0.24368882179260254,0.18291063606739044,0.2017795443534851,0.9988260026530291
50,0.24231842160224915,0.17400798201560974,0.19978289306163788,0.995887293991526
51,0.24123772978782654,0.16147400438785553,0.18817639350891113,0.9986568156459701
52,0.2520521581172943,0.17502577602863312,0.20477160811424255,0.9996572542982298
53,0.24162597954273224,0.16989563405513763,0.2016746550798416,0.9997750500012452
54,0.24354036152362823,0.1900951862335205,0.2104036957025528,0.9994987850847126
55,0.2509390711784363,0.18820910155773163,0.20673798024654388,0.9970319264831433
56,0.23414087295532227,0.15737749636173248,0.18301653861999512,0.9984905088028021
57,0.233839213848114,0.1606154441833496,0.19146445393562317,0.9996006834968814
58,0.2261727899312973,0.16061711311340332,0.1842501014471054,0.9958456571878267
59,0.2177993655204773,0.15698906779289246,0.17734414339065552,0.9991902279050153
60,0.2308279424905777,0.16940118372440338,0.19382159411907196,0.9982848741504406
61,0.2337893843650818,0.16615477204322815,0.18985304236412048,0.9978425976415435
62,0.23394708335399628,0.1574639528989792,0.183954656124115,0.9995091327333683
63,0.23469160497188568,0.16530479490756989,0.19506163895130157,0.9985972757688081
64,0.23000109195709229,0.15589715540409088,0.18581834435462952,0.9984540251702029
65,0.21516507863998413,0.15139208734035492,0.17606842517852783,0.9993355628130838
66,0.22693359851837158,0.15786491334438324,0.18708795309066772,0.9993629430239137
67,0.21353460848331451,0.16580602526664734,0.18307867646217346,0.9980511292606644
68,0.2297051101922989,0.1653171181678772,0.18823322653770447,0.9962990834421956
69,0.24497908353805542,0.18101681768894196,0.20400887727737427,0.9978495820602502
70,0.2464795708656311,0.18850943446159363,0.2081509381532669,0.989236534181169
71,0.2535688281059265,0.19293035566806793,0.21339447796344757,0.9991184665902115
72,0.27574440836906433,0.22302524745464325,0.24361832439899445,0.974845276544337
73,0.2817988693714142,0.24409660696983337,0.2600981593132019,0.9611746001888206
74,0.3048243522644043,0.2668435275554657,0.2880803346633911,0.9623391247947396
75,0.3631901741027832,0.3593935966491699,0.36602625250816345,0.9604318538849508
76,0.3790316581726074,0.39292916655540466,0.3921155035495758,0.9855161461880755
77,0.42040732502937317,0.4682101309299469,0.4574679434299469,0.9843291884854374
78,0.5021297335624695,0.6105204224586487,0.5799685716629028,0.9442732402445284
79,0.5110319256782532,0.6275292038917542,0.5970996618270874,0.8842509897515616
80,0.4992494583129883,0.6084349155426025,0.5795050859451294,0.9578026376121667
81,0.5314767360687256,0.6727482080459595,0.6357376575469971,0.9942669569042057
82,0.5591099262237549,0.6961050629615784,0.6591724753379822,0.9994883494986118
83,0.5671053528785706,0.7230989933013916,0.6784514784812927,0.9999306411372364
84,0.6049390435218811,0.7775461077690125,0.7265941500663757,0.9999426452583495
85,0.6164267659187317,0.8051801323890686,0.7503085136413574,0.9999792568587431
86,0.6321219801902771,0.8133687973022461,0.7642457485198975,0.9999626306867695
87,0.6455574631690979,0.8477712869644165,0.7923967242240906,0.9999871405995184
88,0.6506167650222778,0.8818514347076416,0.8146893382072449,0.9999171910529034
89,0.6676425933837891,0.8857313990592957,0.8250048160552979,0.9999779792735983
90,0.649444580078125,0.8529428839683533,0.8081372976303101,0.9999770607534268
91,0.7012870907783508,0.9367623329162598,0.8664618134498596,0.9999622108381728
92,0.6932061314582825,0.9429122805595398,0.8696897029876709,0.9999141654543702
93,0.7148789763450623,0.9520232677459717,0.8835219740867615,0.9999812786982907
94,0.7185352444648743,0.9479618668556213,0.8843285441398621,0.9999989054083409
95,0.7079842686653137,0.9405542612075806,0.8763370513916016,0.9999997123378737
